Disaster,,,,,,,,,,
ID,ORGANIZATION,YEAR_,START_DATE,END_DATE,UNIT,NAME,CAUSE,LOCALITY,DESTRUCTION (in Thousand Dollars),TOTAL_ACRES
0,FWS,2001,01-01-2001 00:00,01-01-2001 00:00,81682,PUMP HOUSE,Human,CAL,6,0.1
1,FWS,2002,05-03-2002 00:00,05-03-2002 00:00,81682,I5,Human,CAL,6,3
2,FWS,2002,06-01-2002 00:00,06-01-2002 00:00,81682,SOUTHBAY,Human,CAL,6,0.5
3,FWS,2001,07-12-2001 00:00,07-12-2001 00:00,81682,MARINA,Human,CAL,6,0.1
4,FWS,1994,9/13/1994 0:00,9/13/1994 0:00,81682,HILL,Human,CAL,6,1
5,FWS,1994,4/22/1994 0:00,4/22/1994 0:00,81682,IRRIGATION,Human,CAL,6,0.1
6,FWS,1999,12-06-1999 00:00,12-06-1999 00:00,81682,FIELD,Human,CAL,6,3
18,FWS,2003,06-03-2003 00:00,06-03-2003 00:00,81682,CALLA FIRE,Human,CAL,6,0.1
20,FWS,2005,8/20/2005 0:00,8/20/2005 0:00,81682,OVERPASS,Human,CAL,6,0.1
21,FWS,2005,12-11-2005 00:00,12-11-2005 00:00,81682,TRAIN FIRE,Human,CAL,6,0.1
22,FWS,2004,01-12-2004 00:00,01-12-2004 00:00,81682,MARSH,Human,CAL,6,1
23,FWS,2004,04-12-2004 00:00,04-12-2004 00:00,81682,OTAY LAKE #2,Human,CAL,6,0.5
24,FWS,2004,12-05-2004 00:00,12-05-2004 00:00,81682,BAYSIDE FIRE,Human,CAL,6,0.1
25,FWS,2005,6/28/2005 0:00,6/28/2005 0:00,81682,MARINA,Human,CAL,6,0.1
26,FWS,2005,6/30/2005 0:00,6/30/2005 0:00,81240,COLEMAN,Human,CAL,6,2.1
27,FWS,2006,9/28/2006 0:00,9/28/2006 0:00,81330,RBFWO CANAL 1,Human,CAL,6,0.2
28,FWS,2006,12-01-2006 00:00,12-01-2006 00:00,81682,CAMP,Human,CAL,6,0.1
29,FWS,2006,12-01-2006 00:00,12-01-2006 00:00,81682,SWISS,Human,CAL,6,0.1
1596,FWS,2001,5/22/2001 0:00,5/22/2001 0:00,22530,CONOA WASH,Human,ARI,4,20
1597,FWS,2001,5/17/2001 0:00,5/17/2001 0:00,22530,CARPENTERW,Human,ARI,4,16
1598,FWS,2001,4/28/2001 0:00,4/28/2001 0:00,22530,CARPENTER,Human,ARI,4,0
1599,FWS,1999,12/15/1999 0:00,12/15/1999 0:00,22530,MOWER,Human,ARI,4,0.1
1600,FWS,1986,04-05-1986 00:00,04-05-1986 00:00,22530,ARIVACA RD,Human,ARI,4,40
1601,FWS,1987,05-07-1987 00:00,05-07-1987 00:00,22530,POZO NUEVO,Natural,ARI,4,10
1602,FWS,1992,6/21/1992 0:00,6/21/1992 0:00,22530,IRRIGATION,Human,ARI,4,1.4
1603,FWS,1988,3/26/1988 0:00,3/27/1988 0:00,22530,BIG BERTHA,Human,ARI,4,1500
1604,FWS,1986,05-04-1986 00:00,05-04-1986 00:00,22530,LAOSA,Human,ARI,4,600
1605,FWS,1986,5/15/1986 0:00,5/19/1986 0:00,22530,MORMON,Human,ARI,4,10390
1606,FWS,1986,5/30/1986 0:00,5/30/1986 0:00,22530,SECO TANK,Natural,ARI,4,150
1607,FWS,1986,6/16/1986 0:00,6/16/1986 0:00,22530,BROWNWELL,Natural,ARI,4,2
1608,FWS,1986,6/27/1986 0:00,6/28/1986 0:00,22530,NORTH,Human,MON,30,1400
1609,FWS,1992,5/18/1992 0:00,5/18/1992 0:00,22530,LINDBERG 1,Natural,ARI,4,80
1610,FWS,1992,5/18/1992 0:00,5/18/1992 0:00,22530,LINDBERG 2,Natural,ARI,4,0.1
1611,FWS,1992,5/18/1992 0:00,5/18/1992 0:00,22530,MDL PUNTA,Natural,ARI,4,0.1
1612,FWS,1989,05-03-1989 00:00,05-03-1989 00:00,22530,MOSCA,Human,ARI,4,5
1613,FWS,1989,05-03-1989 00:00,05-03-1989 00:00,22530,BREEDING,Human,ARI,4,1.5
1614,FWS,2001,07-05-2001 00:00,07-06-2001 00:00,22530,VINEYARD,Natural,ARI,4,14.4
1615,FWS,2001,07-05-2001 00:00,07-06-2001 00:00,22530,SASABEE EA,Natural,ARI,4,1
1616,FWS,1989,5/31/1989 0:00,5/31/1989 0:00,22530,ALTAR,Human,ARI,4,22
1617,FWS,2001,7/21/2001 0:00,7/21/2001 0:00,22530,RH 3,Human,ARI,4,3
1618,FWS,1989,07-05-1989 00:00,07-06-1989 00:00,22530,ROUNDHILL3,Natural,ARI,4,11
1619,FWS,1989,07-08-1989 00:00,07-08-1989 00:00,22530,SECUNDINO,Natural,ARI,4,115
1620,FWS,1989,07-08-1989 00:00,07-08-1989 00:00,22530,HAYSHED,Natural,ARI,4,33
1621,FWS,1989,07-08-1989 00:00,07-10-1989 00:00,22530,FIGUEROA,Natural,ARI,4,82
1622,FWS,1989,7/22/1989 0:00,7/22/1989 0:00,22530,ESPINOSA,Natural,ARI,4,22.4
1623,FWS,1995,4/25/1995 0:00,4/25/1995 0:00,22530,SHOP,Human,ARI,4,2
1624,FWS,1992,7/23/1992 0:00,7/23/1992 0:00,22530,DELICIAS,Natural,ARI,4,45
1625,FWS,1988,07-08-1988 00:00,07-08-1988 00:00,22530,ASHCRAFT,Natural,ARI,4,45
1626,FWS,1990,08-02-1990 00:00,08-02-1990 00:00,22530,MILE 10,Natural,ARI,4,0.6
1627,FWS,1988,7/17/1988 0:00,7/17/1988 0:00,22530,BOBWHITE,Natural,ARI,4,125
1628,FWS,1990,11/19/1990 0:00,,22530,BRADSHAW,Human,ARI,4,0.5
1629,FWS,1992,8/17/1992 0:00,8/17/1992 0:00,22530,SIERRITA,Natural,ARI,4,2
1630,FWS,1988,11-10-1988 00:00,11-10-1988 00:00,22530,NEW TANK,Human,ARI,4,13
