Calamities,,,,,,,,,,
ID,COMPANY,UNIT,NAME,CAUSE,YEAR_,START_DATE,END_DATE,STATE,STATE_FIPS,AREA_AFFECTED(in ACRES)
11598,FWS,13520,HWY124,Human,2002,07-05-2002 00:00,,WAS,53,0.1
11599,FWS,13520,RANKIN,Human,2002,07-05-2002 00:00,07-05-2002 00:00,WAS,53,0.1
11600,FWS,13520,NMDMDORIAN,Human,2002,08-12-2002 00:00,08-12-2002 00:00,WAS,53,6
11601,FWS,13520,PENINSULA,Human,2000,9/17/2000 0:00,9/19/2000 0:00,WAS,53,100
11602,FWS,13520,SCHOOLHAUS,Human,2002,8/17/2002 0:00,8/17/2002 0:00,WAS,53,3
11603,FWS,13520,STATELINE,Human,2002,8/22/2002 0:00,8/22/2002 0:00,ORE,41,15
11604,FWS,13520,SHELTERBLT,Human,1994,4/15/1994 0:00,4/15/1994 0:00,WAS,53,3
11605,FWS,13520,HWY 12,Human,1994,7/29/1994 0:00,7/29/1994 0:00,WAS,53,1
11606,FWS,13520,PENINSULA,Human,2002,9/19/2002 0:00,9/20/2002 0:00,WAS,53,5
11607,FWS,13520,WALLULAJCT,Human,2001,5/18/2001 0:00,5/18/2001 0:00,WAS,53,43
11608,FWS,13520,MCNOREWA,Human,2001,06-02-2001 00:00,06-02-2001 00:00,ORE,41,1
11609,FWS,13520,MCNTRAIN1,Human,2001,6/18/2001 0:00,6/18/2001 0:00,WAS,53,3
11610,FWS,13520,MCNARYTIE1,Natural,1997,7/30/1997 0:00,7/30/1997 0:00,WAS,53,0.5
11611,FWS,13520,WOODLAND,Human,2004,04-06-2004 00:00,04-06-2004 00:00,WAS,53,1.8
11612,FWS,13520,OLD POST OFFICE,Human,2004,04-09-2004 00:00,,WAS,53,0.1
11613,FWS,13520,TWO RIVERS,Human,2004,3/14/2004 0:00,3/14/2004 0:00,WAS,53,0.5
11614,FWS,13520,BOAT LAUNCH,Human,2003,07-04-2003 00:00,07-05-2003 00:00,WAS,53,0.2
11615,FWS,13520,HANSON CAR FIRE,Human,2004,5/19/2004 0:00,5/19/2004 0:00,WAS,53,0.1
11616,FWS,13520,HANSON LOOP,Human,2003,07-04-2003 00:00,07-05-2003 00:00,WAS,53,0.1
11617,FWS,13520,WALLULA JCT N,Human,2003,7/20/2003 0:00,7/20/2003 0:00,WAS,53,0.4
11618,FWS,13520,LIGHTHUMOR,Natural,2003,08-05-2003 00:00,,WAS,53,0.8
11619,FWS,13520,HANSON ROCK,Human,2004,07-04-2004 00:00,07-04-2004 00:00,WAS,53,0.1
11620,FWS,13520,HALLOWEEN,Human,2003,10/30/2003 0:00,10/31/2003 0:00,WAS,53,60.7
11621,FWS,13520,CASEY POND,Human,2003,11-06-2003 00:00,11-06-2003 00:00,WAS,53,0.1
11622,FWS,13520,HANSON LOOP DITCH,Human,2005,3/14/2005 0:00,3/15/2005 0:00,WAS,53,0.5
11623,FWS,13520,PETERSONS,Human,2005,06-11-2005 00:00,06-11-2005 00:00,WAS,53,0.3
11624,FWS,13520,MADAME DORIAN CAMPER,Human,2005,04-03-2005 00:00,04-03-2005 00:00,WAS,53,0.1
