Date_of_event,Date_of_resolution,Type_of_offence,Summary_of_offence,Zone,Block,Division,Locality
12/13/1908,12/13/2008,DUI,DUI-LIQUOR,EAST,G,G2,CA/SP
6/15/1964,6/15/2010,FAMILY OFFENSE-NONVIOLENT,CHILD-OTHER,WEST,Q,Q2,QA
01-01-1973,1/25/2012,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-OTHER,NORTH,N,N2,NG
06-01-1974,09-09-2013,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-OTHER,UNKNOWN,,,UNKNOWN
01-01-1975,08-11-2016,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-OTHER,UNKNOWN,,,UNKNOWN
12/16/1975,12/16/1975,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,SOUTH,R,R3,LW/SP
01-01-1976,1/31/1976,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-INDECENT LIBERTIES,UNKNOWN,,,UNKNOWN
07-01-1976,12/27/2017,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-INDECENT LIBERTIES,UNKNOWN,,,UNKNOWN
01-01-1977,5/22/2018,RAPE,PHYSICAL_VIOLENCE-SODOMY,UNKNOWN,,,UNKNOWN
01-01-1978,8/25/2009,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-OTHER,SOUTHWEST,W,W1,ALKI
1/28/1979,02-09-1979,CAR PROWL,THEFT-CARPROWL,EAST,G,G2,CA/SP
07-04-1979,9/15/2010,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-OTHER,WEST,Q,Q3,QA
01-01-1980,5/28/2010,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-OTHER,UNKNOWN,,,UNKNOWN
01-01-1980,10/31/2012,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-OTHER,SOUTHWEST,F,F1,HP
2/14/1981,2/15/1981,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,SOUTHWEST,W,W3,RWA
8/22/1981,8/22/1981,HOMICIDE,HOMICIDE-PREMEDITATED-WEAPON,SOUTH,S,S2,BD
01-01-1985,6/18/2015,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-OTHER,UNKNOWN,,,UNKNOWN
9/13/1985,10/13/2014,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-OTHER,EAST,G,G1,FH
1/19/1986,12/19/2016,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-OTHER,SOUTH,S,S2,BD
01-01-1987,01-07-2013,RAPE,PHYSICAL_VIOLENCE-SODOMY,UNKNOWN,,,UNKNOWN
9/29/1988,9/29/1988,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,WEST,M,M2,SC
01-01-1989,1/30/2013,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-OTHER,SOUTHWEST,W,W2,AJ
01-01-1990,12/29/2011,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-OTHER,UNKNOWN,,,UNKNOWN
2/19/1990,2/19/2015,FAMILY OFFENSE-NONVIOLENT,CHILD-OTHER,UNKNOWN,,,UNKNOWN
01-01-1991,4/27/2011,RAPE,PHYSICAL_VIOLENCE-SODOMY,SOUTHWEST,F,F3,SP
01-01-1991,7/31/2009,FAMILY OFFENSE-NONVIOLENT,CHILD-ABUSED-NOFORCE,SOUTHWEST,W,W1,NA
01-01-1993,4/25/2017,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-OTHER,EAST,G,G2,CA/SP
01-01-1993,10-02-2014,THEFT-ALL OTHER,THEFT-OTH,EAST,E,E2,CH
02-09-1993,02-09-2008,RAPE,RAPE-WEAPON,SOUTHWEST,W,W3,RWA
07-09-1993,12/14/2017,RAPE,RAPE-STRONGARM,NORTH,L,L3,LAKECITY
10-08-1993,10-08-1993,HOMICIDE,HOMICIDE-PREMEDITATED-GUN,SOUTH,R,R2,CR
01-01-1994,5/20/2014,FAMILY OFFENSE-NONVIOLENT,CHILD-OTHER,EAST,G,G1,FH
06-08-1994,06-12-1994,THEFT-ALL OTHER,THEFT-OTH,SOUTHWEST,F,F1,HP
01-01-1995,06-01-2009,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-OTHER,EAST,G,G2,CA/SP
01-01-1995,2/23/2016,RAPE,RAPE-STRONGARM,UNKNOWN,,,UNKNOWN
01-01-1995,10/31/2016,RAPE,RAPE-STRONGARM,NORTH,J,J3,RR
01-01-1995,12/13/2010,RAPE,PHYSICAL_VIOLENCE-SODOMY,SOUTHWEST,W,W1,NA
07-01-1995,1/23/2012,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-OTHER,NORTH,L,L1,NG
7/23/1995,9/30/2010,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-OTHER,SOUTHWEST,F,F3,SP
01-01-1996,10-06-2010,PROSTITUTION,HUMAN-TRAFFICKING-PHYSICAL,UNKNOWN,,,UNKNOWN
06-01-1996,10-09-2008,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-OTHER,SOUTH,R,R3,HC
6/24/1996,6/24/2014,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-OTHER,SOUTH,R,R3,LW/SP
12-08-1996,12-08-1996,CAR PROWL,THEFT-CARPROWL,SOUTH,O,O1,SODO
01-01-1997,5/30/2008,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-INDECENT LIBERTIES,SOUTH,S,S1,SBH
01-01-1997,08-08-2008,FAMILY OFFENSE-NONVIOLENT,CHILD-OTHER,SOUTHWEST,F,F3,HPC
01-01-1997,3/17/2008,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-OTHER,NORTH,B,B3,WALLINGFORD
8/17/1997,1/22/2014,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-OTHER,UNKNOWN,,,UNKNOWN
12/29/1997,6/15/2011,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-INDECENT LIBERTIES,UNKNOWN,,,UNKNOWN
01-01-1998,10/21/2009,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-INDECENT LIBERTIES,NORTH,B,B3,WALLINGFORD
01-01-1998,08-08-2014,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-OTHER,SOUTHWEST,W,W3,FSW
01-01-1998,11/19/2008,THEFT-ALL OTHER,THEFT-OTH,NORTH,U,U3,SANDPOINT
01-01-1998,01-09-2009,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-OTHER,SOUTH,R,R2,CR
01-01-1998,12-02-2008,FAMILY OFFENSE-NONVIOLENT,CHILD-OTHER,SOUTH,S,S3,RV
01-01-1998,09-09-2004,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-OTHER,UNKNOWN,,,UNKNOWN
01-01-1998,03-10-2008,FAMILY OFFENSE-NONVIOLENT,CHILD-ABUSED-NOFORCE,SOUTH,R,R1,NBH
01-01-1998,02-05-2016,RAPE,RAPE-STRONGARM,SOUTHWEST,F,F3,SP
